event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9352333,2016-08-07T20:00:00-0400,Janet Jackson,Philips Arena,49.7,2222.22,295,999.0,Atlanta,GA,Ticketmaster,$45.00,0,410449,147,6824,4132,59,0.3601373449252699,0.795111,0.752127,43
9381625,2016-04-23T19:30:00-0400,Underoath,The Tabernacle Atlanta,72.2,1111.0,22,108.0,Atlanta,GA,Live Nation,NoPriceClass,0,2357960,41,,,,,,,
9392053,2016-03-19T20:00:00-0400,Vance Joy,The Tabernacle Atlanta,92.18,325.0,21,77.0,Atlanta,GA,Live Nation,NoPriceClass,0,6148694,6,,,,,,,
9408915,2016-06-09T19:30:00-0400,Selena Gomez,Philips Arena,85.04,1500.0,106,359.0,Atlanta,GA,Ticketmaster,$35.00,0,1059348,88,9475,2202,7,0.4399476127099588,0.770825,0.862321,8
9411812,2016-04-23T20:00:00-0400,Ciara,Center Stage Theatre,55.99,119.0,14,89.0,Atlanta,GA,Ticketmaster,$29.00,0,106251,41,8129,962,52,0.39156665147655895,0.749624,0.729409,14
9420620,2016-07-24T19:30:00-0400,5 Seconds of Summer,Lakewood Amphitheatre,34.36,850.0,188,914.0,Atlanta,GA,Live Nation,NoPriceClass,0,5642214,133,,,,,,,
9422900,2016-03-19T19:30:00-0400,Legends of Southern Hip Hop,Fox Theatre Atlanta,132.3,1200.0,13,35.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,6,,,,,,,
9425408,2016-03-17T20:00:00-0400,Joan Baez,Symphony Hall Atlanta,35.92,392.0,24,76.0,Atlanta,GA,Ticketmaster,$29.50,0,222376,4,1352,336,23,0.34566180263441,0.711166,0.592066,58
9425600,2016-06-29T19:00:00-0400,Demi Lovato and Nick Jonas,Philips Arena,46.86,1749.0,182,780.0,Atlanta,GA,Ticketmaster,$29.95,0,976211,108,6062,1776,13,0.42707395045850144,0.769929,0.835224,14
9426889,2016-03-14T19:00:00-0400,Coheed and Cambria,The Tabernacle Atlanta,70.82,99.0,8,39.0,Atlanta,GA,Live Nation,NoPriceClass,0,200900,1,,,,,,,
9428103,2016-04-08T20:30:00-0400,They Might Be Giants,Variety Playhouse,60.32,1112.0,13,73.0,Atlanta,GA,Ticketmaster,$25.00,0,242200,26,2083,231,167,0.3685639791426707,0.70152,0.619015,34
9432150,2016-05-04T19:00:00-0400,Prong,Masquerade Atlanta,48.37,70.0,4,18.0,Atlanta,GA,Ticketmaster,$16.00,0,149100,52,1110,289,14,0.40972813200151115,0.61652,0.589147,30
9441117,2016-03-26T19:00:00-0400,Skizzy Mars,Masquerade Atlanta,29.62,999.0,16,59.0,Atlanta,GA,Ticketmaster,$14.00,0,4516073,13,353,10,0,0.4472259265162168,0.455172,0.504101,6
9443419,2016-12-19T20:00:00-0400,V103 40th Anniversary Winterfest Concert,Philips Arena,182.25,165.0,2,8.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,281,,,,,,,
9443710,2016-06-24T19:00:00-0400,The Cure,Lakewood Amphitheatre,37.88,1899.0,242,1421.0,Atlanta,GA,Live Nation,NoPriceClass,0,474439,103,,,,,,,
9445426,2016-04-12T19:30:00-0400,Justin Bieber,Philips Arena,214.9,3500.0,289,926.0,Atlanta,GA,Ticketmaster,$50.50,0,2596951,30,30702,11724,108,0.3768891941678082,0.842991,0.91195,8
9451285,2016-03-23T19:30:00-0400,Joe Satriani,Symphony Hall Atlanta,43.01,11484.0,6,33.0,Atlanta,GA,Ticketmaster,$29.50,0,217121,10,2292,483,43,0.33065216015726456,0.749976,0.61644,46
9452596,2016-04-01T20:30:00-0400,Daughter,Terminal West,42.58,65.0,13,34.0,Atlanta,GA,Ticketfly,$20.00,1,201667,19,4497,397,27,0.484888303177617,0.61957,0.700804,6
9455706,2016-04-13T19:30:00-0400,Justin Bieber,Philips Arena,209.0,5500.0,231,876.0,Atlanta,GA,Ticketmaster,$50.50,0,2596951,31,30702,11724,108,0.3768891941678082,0.842991,0.91195,8
9459675,2016-04-16T20:00:00-0400,Jethro Tull - Written and Performed by Ian Anderson,Fox Theatre Atlanta,64.25,395.0,35,142.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,34,,,,,,,
9461076,2016-04-29T21:00:00-0400,polica,Terminal West,60.3,89.0,6,35.0,Atlanta,GA,Ticketfly,$16.00,0,4665213,47,1714,349,40,0.5750904634134799,0.445357,0.639432,5
9461149,2016-04-06T20:00:00-0400,Robin Trower,Variety Playhouse,83.44,78.53,7,35.0,Atlanta,GA,Ticketmaster,$40.00,0,243623,24,521,31,38,0.3834120181241286,0.61476,0.549685,54
9461589,2016-05-18T19:30:00-0400,Rihanna,Philips Arena,61.5,4930.0,374,1278.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,66,,,,,,,
9462347,2016-04-17T19:30:00-0400,Steve Hackett,Symphony Hall Atlanta,117.35,190.0,9,21.0,Atlanta,GA,Ticketmaster,$29.50,0,486354,35,1009,170,23,0.3787415978208128,0.616688,0.544745,46
9462611,2016-03-18T20:00:00-0400,The Infamous Stringdusters,Variety Playhouse,54.36,52.44,8,37.0,Atlanta,GA,Ticketmaster,$20.00,0,541144,5,282,294,18,0.43025586449572134,0.515952,0.528911,10
9462617,2016-07-17T19:00:00-0400,Josh Groban,Chastain Park Amphitheatre,80.2,648.0,88,500.0,Atlanta,GA,Live Nation,NoPriceClass,0,474091,126,,,,,,,
9462786,2016-06-08T19:00:00-0400,Journey and The Doobie Brothers,Lakewood Amphitheatre,37.89,710.5,158,819.0,Atlanta,GA,Live Nation,NoPriceClass,0,94887,87,,,,,,,
9462896,2016-04-02T18:00:00-0400,DAD FEST,Masquerade Atlanta,233.78,196.0,2,7.0,Atlanta,GA,NoRegexp,NoRegexp,NoRegexp,NoRegexp,20,error_5,error_5,error_5,error_5,error_5,error_5,error_5
9462897,2016-03-19T18:00:00-0400,The Decibel Magazine Tour with Abbath,Masquerade Atlanta,73.06,60.42,2,12.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,6,,,,,,,
9465188,2016-04-02T20:00:00-0400,Andrew Bird,The Tabernacle Atlanta,66.22,229.0,20,85.0,Atlanta,GA,Live Nation,NoPriceClass,0,395944,20,,,,,,,
9465237,2016-04-01T20:30:00-0400,G. Love and Special Sauce,Variety Playhouse,58.81,79.0,11,56.0,Atlanta,GA,Ticketmaster,$27.50,0,252784,19,374,178,22,0.38263672664403936,0.621453,0.554782,24
9468614,2016-03-18T20:00:00-0400,Logic,The Tabernacle Atlanta,43.46,1111.0,61,216.0,Atlanta,GA,Live Nation,NoPriceClass,0,614453,5,,,,,,,
9472817,2016-04-03T19:00:00-0400,Stick Figure,Terminal West,35.53,66.0,7,39.0,Atlanta,GA,Ticketfly,$14.00,0,514431,21,88,0,3,0.5190736964306107,0.255699,0.542266,26
9473806,2016-05-07T20:00:00-0400,Animal Collective,Buckhead Theatre,62.68,1111.0,28,134.0,Atlanta,GA,Ticketmaster,$30.00,0,137427,55,11219,1873,294,0.3245912940019448,0.737693,0.588488,17
9474113,2016-04-15T19:00:00-0400,Duran Duran,Philips Arena,83.92,1073.1,115,399.0,Atlanta,GA,Ticketmaster,$29.95,0,427500,33,4576,914,102,0.34277813015077824,0.78713,0.700625,38
9475558,2016-04-05T19:30:00-0400,Melanie Martinez,Buckhead Theatre,67.39,144.0,54,112.0,Atlanta,GA,Ticketmaster,$26.50,0,6647159,23,243,17,0,0.5059959810852519,0.521479,0.627087,4
9476549,2016-04-22T13:00:00-0400,Sweetwater Festival 3 Day Pass,Centennial Olympic Park,123.25,423.0,12,37.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,40,,,,,,,
9476785,2016-05-13T11:30:00-0400,Shaky Knees Music Festival 3 Day Pass,Centennial Olympic Park,213.4,850.0,18,60.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,61,,,,,,,
9477596,2016-05-20T13:00:00-0400,Shaky Beats Music Festival 3 Day Pass,Centennial Olympic Park,223.53,250.0,9,31.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,68,,,,,,,
9477608,2016-03-16T20:00:00-0400,Rickie Lee Jones,Variety Playhouse,85.1,76.76,2,8.0,Atlanta,GA,Ticketmaster,$33.00,0,374600,3,526,113,60,0.3452265861559329,0.633389,0.510861,38
