event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9326623,2016-03-22T20:00:00-0500,Patty Griffin,Bass Concert Hall,122.86,245.0,6,24.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,28382,9,,,,,,,
9369370,2016-03-16T20:00:00-0500,Il Volo,Bass Concert Hall,51.27,224.25,12,50.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,187568,3,,,,,,,
9392997,2016-05-26T20:00:00-0500,Janet Jackson,Frank Erwin Events Center,73.71,750.0,51,178.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,410449,74,,,,,,,
9408918,2016-06-17T19:30:00-0500,Selena Gomez,Frank Erwin Events Center,92.17,2199.0,76,294.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,1059348,96,,,,,,,
9420349,2016-05-18T18:00:00-0500,Leon Bridges with Andra Day,Stubbs BarBQ,92.38,164.3,36,166.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,66,,,,,,,
9422060,2016-09-30T13:00:00-0500,Austin City Limits Music Festival Weekend 1,Zilker Park,314.0,2000.0,117,592.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,201,,,,,,,
9422079,2016-10-07T13:00:00-0500,Austin City Limits Music Festival Weekend 2,Zilker Park,340.0,2000.0,91,462.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,208,,,,,,,
9426931,2016-07-06T19:00:00-0500,Twenty One Pilots,Austin360 Amphitheater,105.15,5000.0,169,821.0,Austin,TX,Ticketmaster,$22.50,0,3123851,115,852,265,10,0.5725633529624048,0.586834,0.78425,7
9430769,2016-03-31T20:00:00-0500,They Might Be Giants,Stubbs BarBQ,60.32,83.0,6,28.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,18,,,,,,,
9434930,2016-04-27T20:00:00-0500,Bonnie Raitt,ACL Live at The Moody Theater,158.06,394.69,19,49.0,Austin,TX,Ticketfly,$49.00,0,135398,45,2254,721,66,0.3160628076798648,0.728868,0.562017,45
9438037,2016-04-07T12:00:00-0500,Euphoria Music Festival Pass,Carson Creek Ranch,205.85,650.0,7,15.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,25,,,,,,,
9443416,2016-03-25T18:30:00-0500,Finish Ticket,The Parish,64.19,49.95,1,2.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,1390422,12,,,,,,,
9443725,2016-05-13T19:30:00-0500,The Cure,Frank Erwin Events Center,80.38,777.0,196,491.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,474439,61,,,,,,,
9448291,2016-04-24T19:30:00-0500,Tony Bennett,Bass Concert Hall,135.84,469.99,24,104.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,500873,42,,,,,,,
9448379,2016-04-22T18:30:00-0500,Umphreys McGee,Stubbs BarBQ,60.32,79.0,6,38.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,40,,,,,,,
9449220,2016-03-26T20:00:00-0500,Big Head Todd and The Monsters,Stubbs BarBQ,61.5,59.28,5,23.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,367320,13,,,,,,,
9452460,2016-08-07T19:00:00-0500,Dixie Chicks,Austin360 Amphitheater,222.55,980.0,70,223.0,Austin,TX,Ticketmaster,$47.50,0,61008,147,982,502,49,0.3921856270337113,0.710058,0.670223,27
