event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9352330,2016-08-18T20:00:00-0400,Janet Jackson,TD Garden,48.51,5000.0,322,1119.0,Boston,MA,Ticketmaster,$26.00,0,410449,158,6823,4132,59,0.3601373449252699,0.795111,0.752127,43
9380629,2016-04-17T18:30:00-0400,Underoath,House of Blues Boston,44.98,1111.0,53,236.0,Boston,MA,Live Nation,NoPriceClass,0,2357960,35,,,,,,,
9392065,2016-04-01T19:00:00-0400,Vance Joy,House of Blues Boston,145.3,695.0,66,154.0,Boston,MA,Live Nation,NoPriceClass,0,6148694,19,,,,,,,
9403908,2016-04-06T18:00:00-0400,Skizzy Mars,Paradise Rock Club,40.65,85.0,10,52.0,Boston,MA,Ticketmaster,$17.00,0,4516073,24,352,10,0,0.4472259265162168,0.455172,0.504101,6
9407323,2016-05-27T18:00:00-0400,Boston Calling Music Festival FRIDAY,Boston City Hall Plaza,76.05,155.0,12,76.0,Boston,MA,NoRegexp,NoRegexp,NoRegexp,NoRegexp,75,error_5,error_5,error_5,error_5,error_5,error_5,error_5
9407324,2016-05-28T12:00:00-0400,Boston Calling Music Festival SATURDAY,Boston City Hall Plaza,99.65,187.0,9,58.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,76,,,,,,,
9407325,2016-05-29T12:00:00-0400,Boston Calling Music Festival SUNDAY,Boston City Hall Plaza,91.0,187.0,12,76.0,Boston,MA,NoRegexp,NoRegexp,NoRegexp,NoRegexp,77,error_5,error_5,error_5,error_5,error_5,error_5,error_5
9407326,2016-05-27T17:59:00-0400,Boston Calling Music Festival 3 Day Pass,Boston City Hall Plaza,213.72,350.0,13,71.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,75,,,,,,,
9407959,2016-03-25T19:00:00-0400,Galactic,House of Blues Boston,49.69,211.0,18,88.0,Boston,MA,Live Nation,NoPriceClass,0,164225,12,,,,,,,
9408910,2016-05-28T19:30:00-0400,Selena Gomez,TD Garden,61.5,2199.0,385,1411.0,Boston,MA,Ticketmaster,$37.00,0,1059348,76,9474,2202,7,0.4399476127099588,0.770825,0.862321,8
9414624,2016-04-11T20:00:00-0400,Charles Kelley,House of Blues Boston,32.51,210.0,40,171.0,Boston,MA,Live Nation,NoPriceClass,0,1171291,29,,,,,,,
9421651,2016-06-04T20:00:00-0400,Fab Faux,Wilbur Theatre,120.5,389.0,7,37.0,Boston,MA,NoVendorClass,NoPriceClass,NoSoldOutClass,365584,83,,,,,,,
9422489,2016-04-09T20:00:00-0400,John Prine,Shubert Theatre - Boston,136.23,410.0,16,42.0,Boston,MA,NoVendorClass,NoPriceClass,NoSoldOutClass,256713,27,,,,,,,
9422598,2016-04-24T19:00:00-0400,Robin Trower,Wilbur Theatre,99.65,167.36,10,34.0,Boston,MA,Ticketmaster,$40.00,0,243623,42,521,31,38,0.3834120181241286,0.61476,0.549685,54
9425610,2016-07-20T19:00:00-0400,Demi Lovato and Nick Jonas,TD Garden,47.32,1617.0,268,1030.0,Boston,MA,Ticketmaster,$25.45,0,976211,129,6062,1776,13,0.42707395045850144,0.769929,0.835224,14
9426787,2016-03-26T19:30:00-0400,Joe Satriani,Orpheum Theatre - MA,87.44,500.0,18,68.0,Boston,MA,Ticketmaster,$33.50,0,217121,13,2292,483,43,0.33065216015726456,0.749976,0.61644,46
9426920,2016-06-14T19:00:00-0400,Twenty One Pilots,Agganis Arena,119.32,9999.99,111,342.0,Boston,MA,Ticketmaster,$32.50,0,3123851,93,852,265,10,0.5725633529624048,0.586834,0.78425,7
9430936,2016-06-15T19:00:00-0400,Twenty One Pilots,Agganis Arena,119.32,1111.0,55,217.0,Boston,MA,Ticketmaster,$32.50,0,3123851,94,852,265,10,0.5725633529624048,0.586834,0.78425,7
9431369,2016-04-01T20:00:00-0400,Savages,Paradise Rock Club,42.62,57.0,10,46.0,Boston,MA,Ticketmaster,$22.00,0,242996,19,13,5,56,0.5766377255391132,0.340308,0.602402,6
9432544,2016-06-15T19:30:00-0400,Ellie Goulding,TD Garden,64.45,336.0,209,854.0,Boston,MA,Ticketmaster,$25.00,0,2332047,94,10070,2357,23,0.48269966817297044,0.750632,0.901275,8
9434826,2016-03-29T19:30:00-0400,Bonnie Raitt,Orpheum Theatre - MA,217.78,900.0,20,44.0,Boston,MA,Ticketmaster,$48.00,0,135398,16,2254,721,66,0.3160628076798648,0.728868,0.562017,45
9445538,2016-05-10T19:30:00-0400,Justin Bieber,TD Garden,225.87,2054.0,231,652.0,Boston,MA,Ticketmaster,$50.50,0,2596951,58,30698,11724,108,0.3768891941678082,0.842991,0.91195,8
9448443,2016-04-09T19:00:00-0400,Infamous Stringdusters,Paradise Rock Club,30.81,57.0,7,35.0,Boston,MA,Ticketmaster,$16.00,0,541144,27,282,294,18,0.43025586449572134,0.515952,0.528911,10
9449217,2016-08-03T18:30:00-0400,James Taylor,Fenway Park,113.42,1500.0,775,2897.0,Boston,MA,NoVendorClass,NoPriceClass,NoSoldOutClass,431970,143,,,,,,,
9449994,2016-03-25T19:00:00-0400,Jose Gonzalez,Berklee Performance Center ,132.3,110.0,1,2.0,Boston,MA,NoVendorClass,NoPriceClass,NoSoldOutClass,542593,12,,,,,,,
9452686,2016-05-11T19:30:00-0400,Justin Bieber,TD Garden,146.85,4000.0,258,888.0,Boston,MA,Ticketmaster,$50.50,0,2596951,59,30698,11724,108,0.3768891941678082,0.842991,0.91195,8
9453411,2016-03-23T19:00:00-0400,Lake Street Dive,House of Blues Boston,78.02,250.0,43,140.0,Boston,MA,Live Nation,NoPriceClass,0,1077331,10,397,175,11,0.5094867319244379,0.50701,0.618196,12
9454878,2016-04-09T17:00:00-0400,Ben Harper and The Innocent Criminals,House of Blues Boston,105.54,264.0,30,109.0,Boston,MA,Live Nation,NoPriceClass,0,76901,27,,,,,,,
9456555,2016-05-06T19:00:00-0400,The Used,House of Blues Boston,60.32,157.0,30,139.0,Boston,MA,Live Nation,NoPriceClass,0,162392,54,,,,,,,
9456556,2016-05-07T18:00:00-0400,The Used,House of Blues Boston,79.2,157.0,33,149.0,Boston,MA,Live Nation,NoPriceClass,0,162392,55,,,,,,,
9456560,2016-05-06T18:59:00-0400,The Used 2 Night Passes,House of Blues Boston,142.92,119.0,1,10.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,54,,,,,,,
9456683,2016-03-19T19:00:00-0400,Jukebox the Ghost,Paradise Rock Club,34.36,100.0,11,47.0,Boston,MA,Ticketmaster,$22.00,0,578861,6,893,83,11,0.41372728051255425,0.531711,0.520564,13
9456716,2016-03-20T19:00:00-0400,Hoodie Allen,House of Blues Boston,32.0,211.0,47,183.0,Boston,MA,Live Nation,NoPriceClass,0,3040991,7,,,,,,,
9456804,2016-03-17T20:00:00-0400,Metric,Orpheum Theatre - MA,46.55,105.0,22,49.0,Boston,MA,Ticketmaster,$29.75,0,465252,4,3111,398,91,0.32503872344282836,0.731526,0.581333,18
9457572,2016-04-04T19:00:00-0400,St. Germain,House of Blues Boston,73.29,317.0,14,69.0,Boston,MA,Live Nation,NoPriceClass,0,521797,22,,,,,,,
9458550,2016-05-17T20:00:00-0400,Above and Beyond Acoustic,Wang Theatre at Boston,10.42,500.0,228,738.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,65,,,,,,,
9459767,2016-04-03T19:00:00-0400,Wolf Alice,Brighton Music Hall,54.49,166.53,15,73.0,Boston,MA,Ticketmaster,$15.00,0,4126816,21,1972,135,8,0.4632107627599085,0.559526,0.607877,6
9460407,2016-03-13T19:00:00-0400,Nick Carter,House of Blues Boston,35.54,28.0,1,1.0,Boston,MA,Live Nation,NoPriceClass,0,469946,0,,,,,,,
9461067,2016-03-26T20:00:00-0400,an Evening with Percy Hill,Paradise Rock Club,37.66,85.0,9,30.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,13,,,,,,,
9461077,2016-04-22T20:00:00-0400,polica,Brighton Music Hall,31.39,199.99,8,42.0,Boston,MA,Ticketmaster,$18.00,0,4665213,40,1714,349,40,0.5750904634134799,0.445357,0.639432,5
9461218,2016-03-19T19:00:00-0400,Dropkick Murphys - Official After Party,House of Blues Boston,31.99,350.0,40,168.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,6,,,,,,,
9461608,2016-04-10T19:30:00-0400,Rihanna,TD Garden,85.1,2695.0,390,1271.0,Boston,MA,Ticketmaster,$30.50,0,139648,28,49474,11208,111,0.33470610926387906,0.849921,0.830018,11
9461849,2016-03-19T16:30:00-0400,Dropkick Murphys,Agganis Arena,18.1,300.0,368,1009.0,Boston,MA,Ticketmaster,$30.00,0,211206,6,1625,563,79,0.39105798616288706,0.689619,0.641496,20
9462477,2016-03-25T20:00:00-0400,Stick Figure,Paradise Rock Club,91.0,98.77,6,20.0,Boston,MA,Ticketfly,$16.00,0,514431,12,88,0,3,0.5190736964306107,0.255699,0.542266,26
9462616,2016-07-30T19:30:00-0400,Josh Groban,Blue Hills Bank Pavilion,109.74,1174.74,106,404.0,Boston,MA,Live Nation,NoPriceClass,0,474091,139,,,,,,,
9462904,2016-04-14T18:30:00-0400,The Decibel Magazine Tour with Abbath,Royale Boston,65.04,79.0,8,42.0,Boston,MA,NoResults,NoResults,NoResults,NoResults,32,,,,,,,
9463640,2016-03-18T19:30:00-0400,G. Love and Special Sauce,Paradise Rock Club,49.69,90.0,11,48.0,Boston,MA,Ticketmaster,$30.00,0,252784,5,374,178,22,0.38263672664403936,0.621453,0.554782,24
9465193,2016-04-09T19:30:00-0400,Andrew Bird,Wang Theatre at Boston,64.25,341.97,38,135.0,Boston,MA,Ticketmaster,$36.00,0,395944,27,5289,777,155,0.3474244277613534,0.695306,0.576323,20
9468661,2016-06-16T19:30:00-0400,The Cure,Agganis Arena,126.4,1000.0,159,474.0,Boston,MA,Ticketmaster,$17.50,0,474439,95,4643,620,220,0.2996640591537195,0.82889,0.691735,40
9468973,2016-04-16T19:30:00-0400,The Melvins and Napalm Death,Paradise Rock Club,61.5,96.0,7,30.0,Boston,MA,Ticketmaster,$22.00,0,207184,34,3985,881,186,0.3412691348437853,0.71194,0.585477,33
9470920,2016-06-04T20:00:00-0400,Nada Surf,Paradise Rock Club,52.96,85.0,12,59.0,Boston,MA,Ticketmaster,$22.00,0,172227,83,1990,228,92,0.39048458103611905,0.678747,0.627284,24
9473176,2016-03-21T18:00:00-0400,Megadeth,House of Blues Boston,88.63,349.0,48,202.0,Boston,MA,Live Nation,NoPriceClass,0,117140,8,,,,,,,
9474369,2016-04-26T20:00:00-0400,Van Morrison,Wang Theatre at Boston,563.0,1750.0,42,104.0,Boston,MA,Ticketmaster,$60.00,0,156780,44,3812,700,209,0.3133827117740012,0.781173,0.630613,58
9475554,2016-03-29T19:30:00-0400,Melanie Martinez,House of Blues Boston,72.08,299.0,54,188.0,Boston,MA,Live Nation,NoPriceClass,0,6647159,16,,,,,,,
9475587,2016-05-07T19:30:00-0400,Ben Folds,Orpheum Theatre - MA,75.66,238.0,45,121.0,Boston,MA,Ticketmaster,$38.00,0,125822,55,2573,342,136,0.3268824095937707,0.725836,0.577463,15
9475725,2016-03-18T18:00:00-0400,Dropkick Murphys,House of Blues Boston,119.2,165.24,22,65.0,Boston,MA,Live Nation,NoPriceClass,0,211206,5,1625,563,79,0.39105798616288706,0.689619,0.641496,20
9475726,2016-03-17T18:00:00-0400,Dropkick Murphys,House of Blues Boston,76.84,250.0,68,255.0,Boston,MA,Live Nation,NoPriceClass,0,211206,4,1625,563,79,0.39105798616288706,0.689619,0.641496,20
9475727,2016-03-16T18:00:00-0400,Dropkick Murphys,House of Blues Boston,100.58,140.0,12,75.0,Boston,MA,Live Nation,NoPriceClass,0,211206,3,1625,563,79,0.39105798616288706,0.689619,0.641496,20
9478233,2016-11-04T18:00:00-0400,Marillion,Royale Boston,80.38,199.0,8,42.0,Boston,MA,Ticketmaster,$60.00,0,243083,236,1534,121,25,0.3460799537597794,0.677385,0.554516,37
9478431,2016-09-14T19:30:00-0400,Adele,TD Garden,209.0,10450.0,270,722.0,Boston,MA,Ticketmaster,$35.00,0,537914,185,20775,6557,131,0.39058666149548404,0.839977,0.935337,10
9478432,2016-09-15T19:30:00-0400,Adele,TD Garden,321.1,10450.0,211,504.0,Boston,MA,Ticketmaster,$35.00,0,537914,186,20775,6557,131,0.39058666149548404,0.839977,0.935337,10
