event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9352318,2016-07-15T20:00:00-0500,Janet Jackson,American Airlines Center,39.49,6985.29,252,848.0,Dallas,TX,Ticketmaster,$35.50,0,410449,124,6824.0,4132.0,59.0,0.360137344925,0.795111,0.752127,43.0
9369372,2016-03-19T20:00:00-0500,Il Volo,Majestic Theatre Dallas,92.18,349.0,12,33.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,187568,6,,,,,,,
9372085,2016-03-23T20:00:00-0500,Disturbed,House of Blues Dallas,120.87,7000.0,36,113.0,Dallas,TX,Live Nation,NoPriceClass,0,455175,10,,,,,,,
9407604,2016-04-02T20:00:00-0500,Herb Alpert and Lani Hall,Majestic Theatre Dallas,297.5,250.0,1,2.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,2467821,20,,,,,,,
9408920,2016-06-18T19:30:00-0500,Selena Gomez,American Airlines Center,59.14,5588.24,516,1728.0,Dallas,TX,Ticketmaster,$35.50,0,1059348,97,9475.0,2202.0,7.0,0.43994761271,0.770825,0.862321,8.0
9420338,2016-03-24T20:00:00-0500,Big Head Todd and The Monsters,House of Blues Dallas,56.78,180.0,23,102.0,Dallas,TX,Live Nation,$17.00,0,506841,11,245.0,96.0,14.0,0.419481389261,0.53216,0.528157,30.0
9420647,2016-09-17T19:30:00-0500,5 Seconds of Summer,Gexa Energy Pavilion,38.6,2749.0,187,770.0,Dallas,TX,Live Nation,NoPriceClass,0,5642214,188,,,,,,,
9422814,2016-04-22T19:30:00-0500,Chris Botti,Morton Meyerson Symphony Center,618.85,520.0,1,4.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,451102,40,,,,,,,
9422815,2016-04-23T19:30:00-0500,Chris Botti,Morton Meyerson Symphony Center,473.32,399.0,1,2.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,451102,41,,,,,,,
9425638,2016-09-12T19:00:00-0500,Demi Lovato and Nick Jonas,American Airlines Center,24.93,6053.92,336,1156.0,Dallas,TX,Ticketmaster,$29.95,0,976211,183,6062.0,1776.0,13.0,0.427073950459,0.769929,0.835224,14.0
9425937,2016-09-07T19:30:00-0500,Black Sabbath,Gexa Energy Pavilion,50.75,9499.05,143,803.0,Dallas,TX,Live Nation,NoPriceClass,0,260631,178,,,,,,,
9426866,2016-03-19T20:00:00-0500,Coheed and Cambria,The South Side Ballroom,66.22,139.71,19,112.0,Dallas,TX,Live Nation,NoPriceClass,0,200900,6,,,,,,,
9431388,2016-04-11T20:00:00-0500,Savages,Trees,59.12,73.0,6,38.0,Dallas,TX,Official artist website,$22.00,0,242996,29,13.0,5.0,56.0,0.576637725539,0.340308,0.602402,6.0
9434940,2016-04-26T19:30:00-0500,Bonnie Raitt,AT&T Performing Arts Center - Winspear Opera House,147.05,425.0,15,36.0,Dallas,TX,Venue,$59.50,0,135398,44,2255.0,721.0,66.0,0.31606280768,0.728868,0.562017,45.0
9440713,2016-03-25T20:00:00-0500,Anders Osborne,Gas Monkey Bar N Grill,41.44,33.0,1,4.0,Dallas,TX,Ticketfly,$5.00,0,464387,12,404.0,620.0,13.0,0.421669995696,0.499201,0.505894,27.0
9441822,2016-04-04T19:30:00-0500,Mumford and Sons,Gexa Energy Pavilion,72.08,1111.0,337,1081.0,Dallas,TX,Live Nation,NoPriceClass,0,2202327,22,,,,,,,
9443415,2016-03-24T19:30:00-0500,Finish Ticket,Cambridge Room at House of Blues Dallas,60.32,55.86,2,12.0,Dallas,TX,Live Nation,$17.00,0,506841,11,245.0,96.0,14.0,0.419481389261,0.53216,0.528157,30.0
9445385,2016-04-10T19:30:00-0500,Justin Bieber,American Airlines Center,268.0,13970.59,253,683.0,Dallas,TX,Ticketmaster,$50.50,0,2596951,28,30707.0,11724.0,108.0,0.376889194168,0.842991,0.91195,8.0
9448306,2016-04-23T19:45:00-0500,Umphreys McGee,House of Blues Dallas,55.48,79.0,9,62.0,Dallas,TX,NoResults,NoResults,NoResults,NoResults,41,,,,,,,
9452458,2016-08-05T19:00:00-0500,Dixie Chicks,Gexa Energy Pavilion,203.1,1049.0,112,517.0,Dallas,TX,Live Nation,NoPriceClass,0,61008,145,,,,,,,
9452595,2016-03-29T20:00:00-0500,Daughter,Trees,44.04,1111.0,20,85.0,Dallas,TX,Ticketfly,$20.00,0,201667,16,4497.0,397.0,27.0,0.484888303178,0.61957,0.700804,6.0
9453420,2016-05-17T20:00:00-0500,Primal Fear,Trees,76.49,73.0,3,21.0,Dallas,TX,Ticketfly,$27.50,0,352176,65,540.0,70.0,18.0,0.423157012982,0.592302,0.584715,19.0
9455984,2016-04-15T20:00:00-0500,The Used - 15 Year Anniversary Tour,House of Blues Dallas,85.09,155.0,16,62.0,Dallas,TX,NoResults,NoResults,NoResults,NoResults,33,,,,,,,
9456552,2016-04-16T20:00:00-0500,The Used,House of Blues Dallas,92.18,158.0,29,135.0,Dallas,TX,Live Nation,NoPriceClass,0,162392,34,,,,,,,
9456566,2016-04-15T19:59:00-0500,The Used 2 Night Passes,House of Blues Dallas,303.4,255.0,1,5.0,Dallas,TX,NoResults,NoResults,NoResults,NoResults,33,,,,,,,
9460614,2016-03-25T20:00:00-0500,Patty Griffin,Granada Theater Dallas,85.1,85.0,3,14.0,Dallas,TX,Ticketfly,NoPriceClass,0,28382,12,,,,,,,
9461587,2016-05-13T19:30:00-0500,Rihanna,American Airlines Center,56.5,5588.24,523,1737.0,Dallas,TX,NoResults,NoResults,NoResults,NoResults,61,,,,,,,
9462065,2016-03-14T20:00:00-0500,Wolfmother,Granada Theater Dallas,40.26,88.89,9,39.0,Dallas,TX,Ticketfly,$25.00,0,192603,1,1986.0,276.0,44.0,0.356522374185,0.676873,0.570694,12.0
9462779,2016-05-20T19:00:00-0500,Journey and The Doobie Brothers,Gexa Energy Pavilion,68.41,1225.0,113,619.0,Dallas,TX,NoResults,NoResults,NoResults,NoResults,68,,,,,,,
9463630,2016-03-16T20:00:00-0500,Troye Sivan,House of Blues Dallas,134.66,200.0,8,17.0,Dallas,TX,Livenation,NoPriceClass,0,7589349,3,,,,,,,
9466092,2016-03-26T19:30:00-0500,Logic,Bomb Factory,67.2,1111.0,54,269.0,Dallas,TX,Ticketfly,$27.00,0,614453,13,404.0,24.0,14.0,0.529339052457,0.607143,0.749355,14.0
9468980,2016-03-30T20:00:00-0500,The Melvins and Napalm Death,Trees,59.42,96.0,6,39.0,Dallas,TX,Ticketfly,$25.00,0,191492,17,3087.0,696.0,49.0,0.321224578601,0.720146,0.560625,35.0
9470923,2016-05-28T21:00:00-0500,Nada Surf,Granada Theater Dallas,66.96,85.0,3,18.0,Dallas,TX,Ticketfly,NoPriceClass,0,172227,76,,,,,,,
9471006,2016-05-14T19:30:00-0500,The Love Jones Experience featuring Lalah Hathaway and Musiq,Bruton Theatre,270.75,350.0,2,4.0,Dallas,TX,NoResults,NoResults,NoResults,NoResults,62,,,,,,,
9472752,2016-05-15T19:00:00-0500,The Cure,American Airlines Center,55.6,6985.29,618,1963.0,Dallas,TX,Ticketmaster,$30.00,0,474439,63,4643.0,620.0,220.0,0.299664059154,0.82889,0.691735,40.0
9472842,2016-04-16T19:30:00-0500,Stick Figure,Gas Monkey Bar N Grill,41.44,44.0,2,5.0,Dallas,TX,Ticketfly,$16.00,0,514431,34,88.0,0.0,3.0,0.519073696431,0.255699,0.542266,26.0
9474197,2016-04-01T20:00:00-0500,Yonder Mountain String Band,Granada Theater Dallas,67.38,60.78,4,24.0,Dallas,TX,Ticketfly,NoPriceClass,0,58290,19,,,,,,,
9474276,2016-04-19T19:00:00-0500,Duran Duran,American Airlines Center,106.91,6053.92,223,900.0,Dallas,TX,Ticketmaster,$29.95,0,427500,37,4576.0,914.0,102.0,0.342778130151,0.78713,0.700625,38.0
