event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9352316,2016-07-13T20:00:00-0500,Janet Jackson,Toyota Center,87.06,573.85,155,572.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,410449,122,,,,,,,
9372086,2016-03-24T19:00:00-0500,Disturbed,House of Blues Houston,78.65,255.0,40,133.0,Houston,TX,Live Nation,NoPriceClass,0,455175,11,,,,,,,
9381626,2016-03-21T19:30:00-0500,Underoath,Warehouse Live,113.42,119.99,4,8.0,Houston,TX,AXS,$25.00,0,2357960,8,1119,370,35,0.3353599339033329,0.703068,0.565007,19
9404101,2016-03-18T19:30:00-0500,The Piano Guys,Revention Music Center,150.0,200.0,4,8.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,5872269,5,,,,,,,
9408917,2016-06-15T19:00:00-0500,Selena Gomez,Toyota Center,81.57,2474.0,170,862.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,1059348,94,,,,,,,
9420397,2016-03-25T19:00:00-0500,Big Head Todd and the Monsters,House of Blues Houston,57.96,167.0,15,80.0,Houston,TX,Live Nation,NoPriceClass,0,506841,12,,,,,,,
9425636,2016-09-09T19:30:00-0500,Demi Lovato and Nick Jonas,Toyota Center,68.97,1715.0,105,501.0,Houston,TX,Venue Website,NoPriceClass,0,976211,180,,,,,,,
9426477,2016-04-19T19:00:00-0500,Carrie Underwood,Toyota Center,110.26,555.56,143,662.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,7078209,37,,,,,,,
9426890,2016-03-17T19:00:00-0500,Coheed and Cambria,Revention Music Center,66.2,83.43,19,89.0,Houston,TX,Live Nation,NoPriceClass,0,200900,4,,,,,,,
9428095,2016-04-01T21:00:00-0500,They Might Be Giants,Warehouse Live,52.04,83.0,10,50.0,Houston,TX,Ticketfly,NoPriceClass,0,242200,19,,,,,,,
9431483,2016-03-24T20:00:00-0500,Matthew Morrison,Jones Hall,37.11,27.0,1,2.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,1635789,11,,,,,,,
9431484,2016-03-25T20:00:00-0500,Matthew Morrison,Jones Hall,166.52,139.0,1,4.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,1635789,12,,,,,,,
9431485,2016-03-26T20:00:00-0500,Matthew Morrison,Jones Hall,166.91,137.0,1,2.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,1635789,13,,,,,,,
9432712,2016-05-09T19:30:00-0500,Celtic Woman,Revention Music Center,166.52,139.0,1,4.0,Houston,TX,Live Nation,NoPriceClass,0,227735,57,,,,,,,
9432753,2016-05-21T19:00:00-0500,Ellie Goulding,Toyota Center,82.35,1052.0,63,354.0,Houston,TX,Ticketing Central,$29.50,0,2332047,69,10071,2357,23,0.48269966817297044,0.750632,0.901275,8
9434840,2016-04-29T20:00:00-0500,Bonnie Raitt,Revention Music Center,85.1,448.0,92,270.0,Houston,TX,Live Nation,$47.50,0,135398,47,2255,721,66,0.3160628076798648,0.728868,0.562017,45
9435508,2016-05-08T17:00:00-0500,Celtic Woman,Revention Music Center,43.8,449.0,11,53.0,Houston,TX,Live Nation,NoPriceClass,0,227735,56,,,,,,,
9443417,2016-03-26T18:30:00-0500,Finish Ticket,House of Blues Houston - Bronze Peacock Room,41.32,98.0,8,43.0,Houston,TX,NoResults,NoResults,NoResults,NoResults,13,,,,,,,
9445425,2016-04-09T19:30:00-0500,Justin Bieber,Toyota Center,371.25,5000.0,143,476.0,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,2596951,27,,,,,,,
9448309,2016-04-20T19:00:00-0500,Umphreys McGee,House of Blues Houston,43.85,197.0,13,64.0,Houston,TX,NoResults,NoResults,NoResults,NoResults,38,,,,,,,
