event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9153382,2016-05-25T19:30:00-0700,The Who,STAPLES Center,78.73,7500.0,213,685.0,Los Angeles,CA,AXS,$49.50,0,69685,73,16207,3483,184,0.2722043204385602,0.837273,0.645903,52
9343612,2016-04-05T20:00:00-0700,Rain - A Tribute to The Beatles,Pantages Theatre Los Angeles,101.62,206.0,13,49.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,23,,,,,,,
9343613,2016-04-06T20:00:00-0700,Rain - A Tribute to The Beatles,Pantages Theatre Los Angeles,112.04,10998.9,11,47.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,24,,,,,,,
9343614,2016-04-07T20:00:00-0700,Rain - A Tribute to The Beatles,Pantages Theatre Los Angeles,112.04,211.0,8,37.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,25,,,,,,,
9343615,2016-04-08T20:00:00-0700,Rain - A Tribute to The Beatles,Pantages Theatre Los Angeles,70.15,265.0,20,70.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,26,,,,,,,
9343618,2016-04-09T14:00:00-0700,Rain - A Tribute to The Beatles,Pantages Theatre Los Angeles,76.45,273.0,10,38.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,27,,,,,,,
9343620,2016-04-10T13:00:00-0700,Rain - A Tribute to The Beatles,Pantages Theatre Los Angeles,75.19,243.0,28,106.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,28,,,,,,,
9345511,2016-04-13T20:00:00-0700,Anoushka Shankar,Royce Hall/UCLA,85.49,150.0,6,17.0,Los Angeles,CA,Ticketmaster,$19.00,0,127386,31,245,82,9,0.5096775333077534,0.549952,0.659132,21
9365796,2016-05-29T19:30:00-0700,Aaron David Miller,Walt Disney Concert Hall,130.06,161.0,2,8.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,77,,,,,,,
9365969,2016-03-16T20:00:00-0700,Yanni,Microsoft Theater,98.21,402.5,24,127.0,Los Angeles,CA,AXS,$49.50,0,409599,3,382,44,16,0.3644982083975638,0.666454,0.5722,36
9365970,2016-03-18T20:00:00-0700,Yanni,Microsoft Theater,85.1,464.0,40,181.0,Los Angeles,CA,AXS,$49.50,0,409599,5,382,44,16,0.3644982083975638,0.666454,0.5722,36
9374309,2016-03-18T20:00:00-0700,Herbie Hancock,Walt Disney Concert Hall,113.42,299.0,13,36.0,Los Angeles,CA,NoVendorClass,NoPriceClass,NoSoldOutClass,224916,5,,,,,,,
9374310,2016-03-26T20:00:00-0700,La Santa Cecilia,Walt Disney Concert Hall,102.8,300.0,6,13.0,Los Angeles,CA,NoVendorClass,NoPriceClass,NoSoldOutClass,2307478,13,,,,,,,
9374313,2016-04-01T20:00:00-0700,Mack Avenue Superband,Walt Disney Concert Hall,83.92,349.0,10,28.0,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,19,,,,,,,
9408889,2016-07-08T19:30:00-0700,Selena Gomez,STAPLES Center,56.35,3849.0,513,1834.0,Los Angeles,CA,AXS,$35.50,0,1059348,117,9474,2202,7,0.4399476127099588,0.770825,0.862321,8
9415014,2016-03-19T19:00:00-0700,Leon Bridges,Wiltern Theatre,108.1,450.0,48,136.0,Los Angeles,CA,Live Nation,NoPriceClass,0,8205063,6,,,,,,,
9420622,2016-03-20T19:00:00-0700,Leon Bridges,Wiltern Theatre,82.74,1111.0,49,179.0,Los Angeles,CA,Live Nation,NoPriceClass,0,8205063,7,,,,,,,
9421526,2016-03-26T19:00:00-0700,Umphrey's McGee,Wiltern Theatre,50.88,199.0,37,150.0,Los Angeles,CA,Live Nation,NoPriceClass,0,193054,13,,,,,,,
9423711,2016-07-06T20:00:00-0700,Bryan Adams,Greek Theatre Los Angeles,37.65,1250.0,70,245.0,Los Angeles,CA,Ticketmaster,$35.00,0,54386,115,1780,345,33,0.4105647874604089,0.748057,0.762037,40
9432750,2016-04-08T19:30:00-0700,Ellie Goulding,STAPLES Center,60.09,2446.58,239,863.0,Los Angeles,CA,AXS,$29.50,0,2332047,26,10070,2357,23,0.48269966817297044,0.750632,0.901275,8
