event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9295580,2016-03-18T13:00:00-0400,Ultra Music Festival 3 Day Pass,Bayfront Park Miami,512.65,100000.0,221,481.0,Miami,FL,NoResults,NoResults,NoResults,NoResults,5,,,,,,,
9392051,2016-03-16T20:00:00-0400,Vance Joy,Fillmore Miami Beach at Jackie Gleason Theater,28.58,110.0,43,178.0,Miami Beach,FL,Live Nation,NoPriceClass,0,6148694,3,,,,,,,
9400047,2016-04-08T20:00:00-0400,Ricardo Montaner,American Airlines Arena,138.59,1096.0,54,218.0,Miami,FL,Ticketmaster,$68.00,0,254050,26,72,4,1,0.4777710625171135,0.554484,0.622154,40
9408916,2016-06-11T19:30:00-0400,Selena Gomez,American Airlines Arena,64.13,1255.99,404,1656.0,Miami,FL,Ticketmaster,$36.50,0,1059348,90,9475,2202,7,0.4399476127099588,0.770825,0.862321,8
9432550,2016-06-03T19:00:00-0400,Ellie Goulding,American Airlines Arena,50.09,501.0,156,848.0,Miami,FL,Ticketmaster,$31.75,0,2332047,82,10071,2357,23,0.48269966817297044,0.750632,0.901275,8
9439471,2016-09-07T19:30:00-0400,Maroon 5,American Airlines Arena,77.61,4410.0,1126,3957.0,Miami,FL,Ticketmaster,$27.50,0,181875,178,6949,2105,92,0.38991947795223525,0.8101,0.849666,22
9443712,2016-06-26T19:00:00-0400,The Cure,Bayfront Park Miami,55.6,2020.0,160,532.0,Miami,FL,Live Nation,NoPriceClass,0,474439,105,,,,,,,
9445394,2016-07-02T19:30:00-0400,Justin Bieber,American Airlines Arena,129.65,5555.0,606,1696.0,Miami,FL,Ticketmaster,$50.50,0,2596951,111,30703,11724,108,0.3768891941678082,0.842991,0.91195,8
9455710,2016-07-03T19:30:00-0400,Justin Bieber,American Airlines Arena,118.05,9999.99,452,1527.0,Miami,FL,Ticketmaster,$50.50,0,2596951,112,30703,11724,108,0.3768891941678082,0.842991,0.91195,8
9456686,2016-06-27T19:00:00-0400,The Cure,Bayfront Park Miami,45.51,3236.86,441,1218.0,Miami,FL,Live Nation,NoPriceClass,0,474439,106,,,,,,,
9459683,2016-03-19T15:59:00-0400,Jazz in the Gardens 2 Day Pass,Sun Life Stadium,151.98,1500.0,64,229.0,Miami Gardens,FL,NoResults,NoResults,NoResults,NoResults,6,,,,,,,
9459696,2016-03-19T16:00:00-0400,Jazz in the Gardens Saturday,Sun Life Stadium,76.05,528.0,49,192.0,Miami Gardens,FL,NoResults,NoResults,NoResults,NoResults,6,,,,,,,
9459697,2016-03-20T16:00:00-0400,Jazz in the Gardens Sunday,Sun Life Stadium,118.52,900.0,26,110.0,Miami Gardens,FL,NoRegexp,NoRegexp,NoRegexp,NoRegexp,7,error_5,error_5,error_5,error_5,error_5,error_5,error_5
9461598,2016-03-15T19:30:00-0400,Rihanna,American Airlines Arena,97.7,1648.0,175,522.0,Miami,FL,Ticketmaster,$31.00,0,139648,2,49490,11208,111,0.33470610926387906,0.849921,0.830018,11
9463629,2016-03-13T20:00:00-0400,Troye Sivan,Fillmore Miami Beach at Jackie Gleason Theater,85.04,149.05,12,41.0,Miami Beach,FL,NoResults,NoResults,NoResults,NoResults,0,,,,,,,
