event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9296869,2016-06-09T13:00:00-0500,2016 CMA Music Festival 4 Day Pass,Nissan Stadium Nashville,365.15,6449.99,404,1354.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,88,,,,,,,
9346472,2016-03-17T19:00:00-0500,The Irish Tenors,Schermerhorn Symphony Center,76.05,121.0,4,14.0,Nashville,TN,Ticketmaster,$22.00,0,429397,4,9,1,5,0.43796657672872635,0.375774,0.457535,18
9346473,2016-03-18T20:00:00-0500,The Irish Tenors,Schermerhorn Symphony Center,118.14,121.0,2,8.0,Nashville,TN,Ticketmaster,$22.00,0,429397,5,9,1,5,0.43796657672872635,0.375774,0.457535,18
9346474,2016-03-19T20:00:00-0500,The Irish Tenors,Schermerhorn Symphony Center,73.3,121.0,4,10.0,Nashville,TN,Ticketmaster,$22.00,0,429397,6,9,1,5,0.43796657672872635,0.375774,0.457535,18
9346475,2016-04-14T19:00:00-0500,Chris Botti with the Nashville Symphony,Schermerhorn Symphony Center,125.81,104.5,1,4.0,Nashville,TN,Ticketmaster,$44.00,0,451102,32,355,172,29,0.3836316741737874,0.578651,0.518679,31
9346476,2016-04-15T20:00:00-0500,Chris Botti with the Nashville Symphony,Schermerhorn Symphony Center,161.8,383.0,4,16.0,Nashville,TN,Ticketmaster,$44.00,0,451102,33,355,172,29,0.3836316741737874,0.578651,0.518679,31
9346477,2016-04-16T20:00:00-0500,Chris Botti with the Nashville Symphony,Schermerhorn Symphony Center,125.81,438.0,5,16.0,Nashville,TN,Ticketmaster,$44.00,0,451102,34,355,172,29,0.3836316741737874,0.578651,0.518679,31
9346478,2016-05-12T19:00:00-0500,Alabama,Schermerhorn Symphony Center,297.5,250.0,1,2.0,Nashville,TN,Ticketmaster,$59.00,0,244095,60,2008,584,17,0.3535561999135074,0.707168,0.600641,47
9346479,2016-05-13T20:00:00-0500,Alabama,Schermerhorn Symphony Center,226.7,265.0,7,19.0,Nashville,TN,Ticketmaster,$59.00,0,244095,61,2008,584,17,0.3535561999135074,0.707168,0.600641,47
9346480,2016-05-14T20:00:00-0500,Alabama,Schermerhorn Symphony Center,268.0,250.0,4,12.0,Nashville,TN,Ticketmaster,$59.00,0,244095,62,2008,584,17,0.3535561999135074,0.707168,0.600641,47
9346481,2016-05-17T19:30:00-0500,Paul Anka in Concert,Schermerhorn Symphony Center,113.42,118.0,2,9.0,Nashville,TN,Ticketmaster,$49.00,0,295235,65,615,96,16,0.45586391060372616,0.617786,0.65688,61
9346482,2016-05-31T19:30:00-0500,Michael Cavanaugh in Concert,Schermerhorn Symphony Center,104.57,99.0,2,9.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,330624,79,,,,,,,
9381082,2016-04-11T18:00:00-0500,Underoath,Rocketown,64.25,189.53,14,55.0,Nashville,TN,Artist website,NoPriceClass,0,2357960,29,,,,,,,
9390840,2016-04-17T19:30:00-0500,Chick Corea and Bela Fleck,Ryman Auditorium,78.02,225.0,47,128.0,Nashville,TN,Ticketmaster,$35.00,0,206143,35,1348,591,86,0.32943986271284503,0.704681,0.556847,54
9392052,2016-03-18T20:00:00-0500,Vance Joy,Ryman Auditorium,72.59,375.0,47,111.0,Nashville,TN,Ticketmaster,$32.00,0,6148694,5,1102,178,5,0.5987234536781673,0.571873,0.800909,3
9398548,2016-04-12T19:30:00-0500,Dailey and Vincent,Schermerhorn Symphony Center,79.2,94.05,5,21.0,Nashville,TN,Ticketmaster,$29.00,0,855484,30,77,87,5,0.4803058751187084,0.423249,0.517989,9
9401167,2016-03-15T19:30:00-0500,The Piano Guys,Ryman Auditorium,102.8,199.95,7,18.0,Nashville,TN,Ticketmaster,$37.50,0,5872269,2,56,11,0,0.6355738488298877,0.468097,0.729495,6
9408922,2016-06-21T19:30:00-0500,Selena Gomez,Bridgestone Arena,47.47,2199.0,329,1303.0,Nashville,TN,Ticketmaster,$36.30,0,1059348,100,9476,2202,7,0.4399476127099588,0.770825,0.862321,8
9412159,2016-03-24T19:00:00-0500,Opry Country Classics,Ryman Auditorium,85.1,84.0,2,3.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,11,,,,,,,
9412160,2016-03-31T19:00:00-0500,Opry Country Classics,Ryman Auditorium,101.62,85.0,2,6.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,18,,,,,,,
9412161,2016-04-07T19:00:00-0500,Opry Country Classics,Ryman Auditorium,73.3,83.0,2,5.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,25,,,,,,,
9412162,2016-04-14T19:00:00-0500,Opry Country Classics,Ryman Auditorium,101.62,84.0,1,2.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,32,,,,,,,
9412163,2016-04-21T19:00:00-0500,Opry Country Classics,Ryman Auditorium,99.26,86.0,3,12.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,39,,,,,,,
9412164,2016-04-28T19:00:00-0500,Opry Country Classics,Ryman Auditorium,101.62,84.0,1,4.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,46,,,,,,,
9412165,2016-05-05T19:00:00-0500,Opry Country Classics,Ryman Auditorium,102.8,86.0,2,8.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,53,,,,,,,
9412169,2016-06-11T15:00:00-0500,Opry at the Ryman,Ryman Auditorium,214.9,180.0,1,4.0,Nashville,TN,NoResults,NoResults,NoResults,NoResults,90,,,,,,,
9412225,2016-03-15T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,37.9,126.0,3,5.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,2,,,,,,,
9412226,2016-03-18T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,67.4,252.25,22,87.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,5,,,,,,,
9412227,2016-03-19T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,97.25,174.08,9,40.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,6,,,,,,,
9412228,2016-03-22T19:00:00-0500,Grand Ole Opry with Rascal Flatts,Grand Ole Opry House,247.59,207.7,1,1.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,88395,9,,,,,,,
9412229,2016-03-25T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,85.1,260.13,18,80.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,12,,,,,,,
9412230,2016-03-26T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,81.86,504.49,23,83.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,13,,,,,,,
9412231,2016-03-29T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,90.76,218.59,9,32.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,16,,,,,,,
9412232,2016-04-01T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,85.57,252.25,22,106.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,19,,,,,,,
9412233,2016-04-02T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,85.57,302.69,19,69.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,20,,,,,,,
9412234,2016-04-05T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,85.57,302.69,18,102.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,23,,,,,,,
9412235,2016-04-08T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,85.57,252.25,17,82.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,26,,,,,,,
9412236,2016-04-09T19:00:00-0500,Grand Ole Opry with Eric Church,Grand Ole Opry House,210.18,1008.97,29,113.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,27,,,,,,,
9412237,2016-04-12T19:00:00-0500,Grand Ole Opry,Grand Ole Opry House,76.84,1008.97,20,78.0,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,61270,30,,,,,,,
