event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9153379,2016-05-19T19:30:00-0700,The Who,Oracle Arena,85.1,1650.0,110,381.0,Oakland,CA,Ticketmaster,$49.50,0,69685,67,16207.0,3483.0,184.0,0.272204320439,0.837273,0.645903,52.0
9415012,2016-03-17T20:00:00-0700,Leon Bridges,Fox Theater Oakland,96.1,319.89,57,124.0,Oakland,CA,Ticketmaster,$35.00,0,8205063,4,2.0,0.0,7.0,0.411347903697,0.087578,0.429727,6.0
9421525,2016-03-25T19:30:00-0700,Umphrey's McGee,Fox Theater Oakland,57.84,500.0,23,99.0,Oakland,CA,Ticketmaster,$29.50,0,193054,12,1232.0,1723.0,20.0,0.386539012433,0.610394,0.550153,19.0
9425940,2016-09-15T19:30:00-0700,Black Sabbath,Oracle Arena,91.0,3430.0,122,557.0,Oakland,CA,Ticketmaster,$45.00,0,260631,186,15215.0,3915.0,202.0,0.236578263166,0.869534,0.632739,48.0
9426457,2016-04-10T19:00:00-0700,Carrie Underwood,Oracle Arena,76.83,858.0,262,931.0,Oakland,CA,Ticketmaster,$46.00,0,208604,28,8752.0,4570.0,32.0,0.395406442848,0.775916,0.785008,11.0
9434834,2016-04-23T20:00:00-0700,Bonnie Raitt,Fox Theater Oakland,182.25,1000.0,18,42.0,Oakland,CA,Ticketmaster,$59.50,0,135398,41,2254.0,721.0,66.0,0.31606280768,0.728868,0.562017,45.0
9439468,2016-10-16T19:30:00-0700,Maroon 5,Oracle Arena,99.06,4655.0,675,2322.0,Oakland,CA,Ticketmaster,$30.50,0,181875,217,6949.0,2105.0,92.0,0.389919477952,0.8101,0.849666,22.0
9445382,2016-03-18T19:30:00-0700,Justin Bieber,Oracle Arena,179.24,10000.0,278,776.0,Oakland,CA,Ticketmaster,$50.50,0,2596951,5,30702.0,11724.0,108.0,0.376889194168,0.842991,0.91195,8.0
9445871,2016-03-13T19:30:00-0700,Jose Gonzalez,Fox Theater Oakland,72.12,149.0,10,23.0,Oakland,CA,NoResults,NoResults,NoResults,NoResults,0,,,,,,,
9461619,2016-05-07T19:30:00-0700,Rihanna,Oracle Arena,113.81,5500.0,302,1076.0,Oakland,CA,Ticketmaster,$36.75,0,139648,55,49489.0,11208.0,111.0,0.334706109264,0.849921,0.830018,11.0
9469696,2016-03-13T20:00:00-0700,Bruce Springsteen and the E Street Band,Oracle Arena,226.7,979.17,43,95.0,Oakland,CA,NoResults,NoResults,NoResults,NoResults,0,,,,,,,
9470247,2016-03-27T19:30:00-0700,Joanna Newsom,Fox Theater Oakland,120.49,249.99,14,44.0,Oakland,CA,Ticketmaster,$35.00,0,481340,14,3373.0,506.0,115.0,0.3125209609,0.688879,0.511924,14.0
9478409,2016-08-02T19:30:00-0700,Adele,Oracle Arena,237.31,9900.0,440,1192.0,Oakland,CA,Ticketmaster,$39.50,0,537914,142,20775.0,6557.0,131.0,0.390586661495,0.839977,0.935337,10.0
9483217,2016-04-16T19:30:00-0700,Kirk Franklin,Paramount Theatre Oakland,78.01,170.0,12,32.0,Oakland,CA,Ticketmaster,$28.00,0,115247,34,910.0,240.0,16.0,0.437473624486,0.686792,0.713703,24.0
9493390,2016-04-01T20:00:00-0700,Father John Misty,Fox Theater Oakland,26.1,200.0,154,488.0,Oakland,CA,Ticketmaster,$35.00,0,5113323,19,3877.0,690.0,74.0,0.484256015692,0.602427,0.680239,12.0
9500869,2016-05-18T20:00:00-0700,Tori Kelly,Fox Theater Oakland,52.02,500.0,147,449.0,Oakland,CA,Ticketmaster,$32.50,0,1054791,66,478.0,132.0,1.0,0.559208525071,0.580404,0.758162,12.0
9501316,2016-04-17T20:00:00-0700,M83,Fox Theater Oakland,47.33,400.0,130,486.0,Oakland,CA,Ticketmaster,$42.50,1,525418,35,5612.0,390.0,135.0,0.404079554506,0.744452,0.743836,15.0
9502380,2016-04-02T20:00:00-0700,The O'Jays,Paramount Theatre Oakland,127.58,170.94,6,25.0,Oakland,CA,Ticketmaster,$43.75,0,468452,20,956.0,113.0,51.0,0.368475512949,0.652125,0.563548,58.0
9502594,2016-05-08T19:30:00-0700,Dream Theater Presents The Astonishing Live,Fox Theater Oakland,132.3,179.0,34,98.0,Oakland,CA,NoResults,NoResults,NoResults,NoResults,56,,,,,,,
9503217,2016-04-02T20:00:00-0700,Father John Misty,Fox Theater Oakland,37.9,9999.0,101,433.0,Oakland,CA,Ticketmaster,$35.00,0,5113323,20,3877.0,690.0,74.0,0.484256015692,0.602427,0.680239,12.0
9506638,2016-08-17T18:30:00-0700,Ben Harper,Fox Theater Oakland,89.05,5000.0,61,205.0,Oakland,CA,Ticketmaster,$52.50,0,76901,157,2169.0,751.0,56.0,0.321439776668,0.742762,0.589446,24.0
