event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9153395,2016-03-14T19:30:00-0400,The Who,Wells Fargo Center Philadelphia,85.5,500.0,74,240.0,Philadelphia,PA,NoVendorClass,NoPriceClass,NoSoldOutClass,69685,1,,,,,,,
9303777,2016-04-11T20:30:00-0400,The Kills,Union Transfer,43.8,1111.0,19,96.0,Philadelphia,PA,Songkick Tickets,$29.50,0,236059,29,4068.0,723.0,101.0,0.365165313253,0.684666,0.593295,16.0
9352329,2016-08-24T20:00:00-0400,Janet Jackson,Wells Fargo Center Philadelphia,40.26,1199.0,328,1389.0,Philadelphia,PA,NoVendorClass,NoPriceClass,NoSoldOutClass,410449,164,,,,,,,
9360707,2016-04-26T21:00:00-0400,The Legwarmers,Trocadero,56.78,47.88,4,21.0,Philadelphia,PA,NoVendorClass,NoPriceClass,NoSoldOutClass,2390600,44,,,,,,,
9372089,2016-04-02T20:00:00-0400,Disturbed,Theatre of Living Arts,191.24,600.0,32,80.0,Philadelphia,PA,Live Nation,NoPriceClass,0,455175,20,,,,,,,
9381614,2016-04-16T19:30:00-0400,Underoath,The Electric Factory,76.05,120.0,17,75.0,Philadelphia,PA,Ticketmaster,$25.00,0,2357960,34,1119.0,370.0,35.0,0.335359933903,0.703068,0.565007,19.0
9392059,2016-03-28T20:00:00-0400,Vance Joy,The Electric Factory,63.74,495.0,57,255.0,Philadelphia,PA,Ticketmaster,$35.00,0,6148694,15,1102.0,178.0,5.0,0.598723453678,0.571873,0.800909,3.0
9403907,2016-04-08T20:00:00-0400,Skizzy Mars,Coda Philadelphia,37.89,85.0,4,24.0,Philadelphia,PA,Ticketweb,NoPriceClass,0,4516073,26,,,,,,,
9408081,2016-03-24T20:30:00-0400,Galactic,The Electric Factory,26.1,66.12,14,77.0,Philadelphia,PA,Ticketmaster,$25.00,0,164225,11,449.0,274.0,42.0,0.481154245071,0.594211,0.666907,22.0
9422110,2016-03-18T20:30:00-0400,Beach House,Union Transfer,68.5,1111.0,22,95.0,Philadelphia,PA,Ticketfly,$30.00,1,273059,5,10212.0,4223.0,139.0,0.419767046781,0.703756,0.708198,12.0
9424649,2016-03-19T20:00:00-0400,Beach House,Union Transfer,63.75,1111.0,19,60.0,Philadelphia,PA,Ticketfly,$30.00,1,273059,6,10212.0,4223.0,139.0,0.419767046781,0.703756,0.708198,12.0
9426381,2016-06-25T17:00:00-0400,Kenny Chesney,Lincoln Financial Field,82.74,8500.0,950,6851.0,Philadelphia,PA,Ticketmaster,$41.00,0,292712,104,2917.0,2423.0,53.0,0.427007006358,0.726528,0.755465,23.0
9428106,2016-04-10T20:00:00-0400,They Might Be Giants,Theatre of Living Arts,47.33,195.0,10,42.0,Philadelphia,PA,Live Nation,NoPriceClass,0,242200,28,,,,,,,
9428509,2016-03-18T20:00:00-0400,Tortoise,Underground Arts,48.11,47.88,4,17.0,Philadelphia,PA,Ticketweb,NoPriceClass,0,136413,5,,,,,,,
9428855,2016-03-25T20:30:00-0400,Mutemath,Union Transfer,50.77,150.0,15,76.0,Philadelphia,PA,Ticketfly,$25.00,1,524956,12,1008.0,162.0,92.0,0.432978651289,0.671119,0.685621,14.0
9431367,2016-03-31T20:30:00-0400,Savages,Union Transfer,37.89,57.0,9,40.0,Philadelphia,PA,Ticketfly,$15.00,0,242996,18,13.0,5.0,56.0,0.576637725539,0.340308,0.602402,6.0
9434935,2016-03-25T20:00:00-0400,Bonnie Raitt,Kimmel Center,237.32,1000.0,6,11.0,Philadelphia,PA,Venue,$80.00,0,135398,12,2254.0,721.0,66.0,0.31606280768,0.728868,0.562017,45.0
9437147,2016-05-07T20:30:00-0400,Super Furry Animals,Union Transfer,41.17,54.72,9,41.0,Philadelphia,PA,Ticketfly,$20.00,0,529205,55,1678.0,248.0,155.0,0.341909703626,0.655763,0.526354,23.0
9445537,2016-05-07T19:30:00-0400,Justin Bieber,Wells Fargo Center Philadelphia,213.72,9500.0,197,586.0,Philadelphia,PA,Eventbrite,$169.99,0,2596951,55,30703.0,11724.0,108.0,0.376889194168,0.842991,0.91195,8.0
9449995,2016-03-23T20:00:00-0400,Jose Gonzalez,Kimmel Center,81.95,86.7,4,12.0,Philadelphia,PA,Venue,$20.00,0,542593,10,2591.0,235.0,70.0,0.386693932333,0.664884,0.605287,13.0
9452564,2016-04-08T20:00:00-0400,Infamous Stringdusters,World Cafe Live Philadelphia,57.92,47.88,5,29.0,Philadelphia,PA,Ticketfly,NoPriceClass,0,541144,26,,,,,,,
9453410,2016-03-18T20:00:00-0400,Lake Street Dive,Fillmore Philadelphia,61.43,199.0,23,89.0,Philadelphia,PA,NoResults,NoResults,NoResults,NoResults,5,,,,,,,
