event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9152782,2016-05-17T20:30:00-0700,The Who,Moda Center at the Rose Quarter,68.17,902.0,58,170.0,Portland,OR,Ticketmaster,$39.50,0,69685,65,16207,3483,184,0.2722043204385602,0.837273,0.645903,52
9352311,2016-07-03T20:00:00-0700,Janet Jackson,Moda Center at the Rose Quarter,55.6,500.0,124,371.0,Portland,OR,Ticketmaster,$24.95,0,410449,112,6824,4132,59,0.3601373449252699,0.795111,0.752127,43
9367549,2016-04-14T20:00:00-0700,Gary Clark Jr,Roseland Theater,74.26,199.88,30,128.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,309236,32,,,,,,,
9372111,2016-03-14T20:00:00-0700,Disturbed,Roseland Theater,77.82,5555.55,14,63.0,Portland,OR,AXS,NoPriceClass,1,455175,1,,,,,,,
9381633,2016-03-31T19:30:00-0700,Underoath,McMenamins Crystal Ballroom,57.83,199.0,10,70.0,Portland,OR,NoResults,NoResults,NoResults,NoResults,18,,,,,,,
9395359,2016-04-16T20:00:00-0700,2Cellos,Keller Auditorium,108.7,9999.0,15,46.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,34,,,,,,,
9411823,2016-04-02T20:00:00-0700,Ciara,Roseland Theater,73.3,82.0,5,8.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,106251,20,,,,,,,
9415018,2016-05-28T20:00:00-0700,Leon Bridges,Arlene Schnitzer Hall,152.75,636.54,18,46.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,8205063,76,2,0,7,0.4113479036967781,0.087578,0.429727,6
9425581,2016-03-13T19:45:00-0700,Umphrey's McGee,McMenamins Crystal Ballroom,57.84,87.78,2,16.0,Portland,OR,NoResults,NoResults,NoResults,NoResults,0,,,,,,,
9425627,2016-08-20T19:00:00-0700,Demi Lovato and Nick Jonas,Moda Center at the Rose Quarter,31.74,2499.0,205,830.0,Portland,OR,Ticketmaster,$29.95,0,976211,160,6063,1776,13,0.42707395045850144,0.769929,0.835224,14
9426932,2016-07-19T19:00:00-0700,Twenty One Pilots,Moda Center at the Rose Quarter,85.1,5000.0,133,769.0,Portland,OR,Ticketmaster,$35.00,0,3123851,128,852,266,10,0.5725633529624048,0.586834,0.78425,7
9432568,2016-04-03T19:00:00-0700,Ellie Goulding,Moda Center at the Rose Quarter,65.55,302.4,50,214.0,Portland,OR,Ticketmaster,$35.00,0,2332047,21,10071,2357,23,0.48269966817297044,0.750632,0.901275,8
9434937,2016-04-17T19:30:00-0700,Bonnie Raitt,Keller Auditorium,159.0,475.0,8,13.0,Portland,OR,Evenue,$46.50,0,135398,35,2255,721,66,0.3160628076798648,0.728868,0.562017,45
9438924,2016-05-22T15:00:00-0700,Celtic Woman,Arlene Schnitzer Hall,159.44,219.0,4,12.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,227735,70,,,,,,,
9439488,2016-10-13T19:30:00-0700,Maroon 5,Moda Center at the Rose Quarter,68.58,7995.0,695,2233.0,Portland,OR,Ticketmaster,$30.50,0,181875,214,6949,2105,92,0.38991947795223525,0.8101,0.849666,22
9440727,2016-04-02T21:00:00-0700,Anders Osborne,Dantes,112.63,91.0,1,8.0,Portland,OR,NoResults,NoResults,NoResults,NoResults,20,,,,,,,
9443411,2016-03-16T19:30:00-0700,Finish Ticket,McMenamins Crystal Ballroom,27.28,59.0,4,18.0,Portland,OR,NoResults,NoResults,NoResults,NoResults,3,,,,,,,
9445590,2016-03-13T19:00:00-0700,Justin Bieber,Moda Center at the Rose Quarter,206.5,1600.0,120,285.0,Portland,OR,NoResults,NoResults,NoResults,NoResults,0,,,,,,,
9452592,2016-03-20T20:00:00-0700,Daughter,Wonder Ballroom,43.62,199.99,11,38.0,Portland,OR,Ticketfly,$18.00,1,201667,7,4497,397,27,0.484888303177617,0.61957,0.700804,6
9453413,2016-03-26T20:00:00-0400,Lake Street Dive,State Theatre Portland Maine,72.12,169.0,10,28.0,Portland,ME,Ticketmaster,$30.00,0,1077331,13,399,175,11,0.5094867319244379,0.50701,0.618196,12
9456682,2016-03-18T21:00:00-0400,Jukebox the Ghost,Port City Music Hall,27.11,45.0,7,30.0,Portland,ME,Ticketmaster,$15.00,0,578861,5,893,83,11,0.41372728051255425,0.531711,0.520564,13
9457937,2016-03-22T21:00:00-0700,Phil Cook,Doug Fir Lounge ,69.76,58.14,2,8.0,Portland,OR,Ticketfly,$12.00,0,4876678,9,255,56,3,0.39271062075906116,0.370697,0.410257,16
9457939,2016-03-23T21:00:00-0700,Greg Dulli,Doug Fir Lounge ,34.28,89.95,8,26.0,Portland,OR,Ticketfly,$22.00,1,458141,10,753,205,9,0.4241148809454919,0.449173,0.474072,29
9457940,2016-03-28T21:00:00-0700,Polica,Doug Fir Lounge ,50.86,69.54,5,32.0,Portland,OR,Ticketfly,$20.00,0,4665213,15,1714,349,40,0.5750904634134799,0.445357,0.639432,5
9457941,2016-03-29T21:00:00-0700,Polica,Doug Fir Lounge ,32.0,89.0,5,30.0,Portland,OR,Ticketfly,$20.00,0,4665213,16,1714,349,40,0.5750904634134799,0.445357,0.639432,5
9457942,2016-03-30T21:00:00-0700,Field Music,Doug Fir Lounge ,68.58,57.0,2,8.0,Portland,OR,Ticketfly,$12.00,0,399137,17,1276,196,82,0.37694532481118087,0.565609,0.499341,12
9457946,2016-04-22T21:00:00-0700,Judah and The Lion,Doug Fir Lounge ,39.08,64.33,6,20.0,Portland,OR,Ticketfly,$13.00,0,6008179,40,61,21,2,0.4844621465352863,0.311886,0.506108,5
9459803,2016-04-14T20:00:00-0700,Arlo Guthrie,Revolution Hall Portland,179.49,149.99,1,8.0,Portland,OR,Ticketfly,$39.50,1,398453,32,537,154,37,0.4228572215020871,0.529346,0.530184,49
9459856,2016-03-23T19:30:00-0700,Loreena McKennitt,Arlene Schnitzer Hall,120.5,269.0,4,12.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,156551,10,,,,,,,
9461064,2016-03-25T21:00:00-0400,Percy Hill,Port City Music Hall,55.6,45.0,1,10.0,Portland,ME,Ticketmaster,$20.00,0,162633,12,17,19,0,0.3917543472277423,0.313438,0.409258,
9462423,2016-03-30T21:00:00-0700,Wolfmother,Wonder Ballroom,107.45,91.0,4,13.0,Portland,OR,Ticketfly,$25.00,1,192603,17,1986,276,44,0.3565223741851221,0.676873,0.570694,12
9463096,2016-03-29T20:00:00-0700,Rachel Platten,Wonder Ballroom,16.24,101.0,17,85.0,Portland,OR,Ticketfly,$20.00,0,1988795,16,165,24,1,0.6619148080054834,0.503897,0.799531,13
9465904,2016-03-17T20:30:00-0700,Breaking Benjamin,Roseland Theater,96.78,199.0,9,33.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,99074,4,,,,,,,
9468498,2016-03-28T20:00:00-0700,Joanna Newsom,Arlene Schnitzer Hall,87.46,144.0,15,39.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,481340,15,,,,,,,
9468976,2016-05-03T20:00:00-0700,The Melvins and Napalm Death,Roseland Theater,73.28,96.0,7,33.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,207184,51,,,,,,,
9469543,2016-03-20T19:30:00-0700,Slayer,Roseland Theater,191.3,179.0,4,4.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,36137,7,,,,,,,
9469802,2016-04-26T20:00:00-0700,The 1975,Arlene Schnitzer Hall,76.84,300.0,35,121.0,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,66370,44,,,,,,,
9470756,2016-05-25T20:00:00-0700,Mac DeMarco,Roseland Theater,43.8,100.0,22,98.0,Portland,OR,Etix,NoPriceClass,0,5105188,73,,,,,,,
9470917,2016-05-19T21:00:00-0700,Nada Surf,Doug Fir Lounge ,89.94,85.0,2,12.0,Portland,OR,Ticketfly,$22.00,0,172227,67,1992,228,92,0.39048458103611905,0.678747,0.627284,24
9474191,2016-03-18T19:00:00-0700,Yonder Mountain String Band,McMenamins Crystal Ballroom,61.5,85.82,5,21.0,Portland,OR,NoResults,NoResults,NoResults,NoResults,5,,,,,,,
9475465,2016-03-25T19:30:00-0700,Peter Frampton,Revolution Hall Portland,120.48,129.0,5,27.0,Portland,OR,Ticketfly,$69.50,0,486144,12,1112,299,72,0.3593422525931816,0.679797,0.578411,50
9476550,2016-05-27T21:00:00-0700,King Gizzard And The Lizard Wizard,Mississippi Studios,83.92,69.0,1,2.0,Portland,OR,Ticketfly,NoPriceClass,0,4137561,75,,,,,,,
9477146,2016-04-04T20:00:00-0400,The Mountain Goats,Port City Music Hall,60.32,130.0,4,30.0,Portland,ME,Ticketmaster,$20.00,0,488253,22,3642,548,276,0.45567034953047575,0.664594,0.712874,25
9478034,2016-05-25T21:00:00-0700,Mac DeMarco,Roseland Theater,81.84,70.0,3,11.0,Portland,OR,Etix,NoPriceClass,0,5105188,73,,,,,,,
9483194,2016-06-10T19:00:00-0700,Blue October,Roseland Theater,47.66,105.0,13,51.0,Portland,OR,ShowClix,$50.00,0,500273,89,292,33,24,0.4344212483414914,0.607631,0.615481,21
