event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9372082,2016-03-16T20:00:00-0700,Disturbed,Fillmore San Francisco,136.9,175.0,18,38.0,San Francisco,CA,Live Nation,NoPriceClass,0,455175,3,,,,,,,
9383247,2016-03-28T19:30:00-0700,Underoath,The Warfield,43.8,999.0,21,93.0,San Francisco,CA,Songkick Tickets,$37.00,0,2357960,15,1119,370,35,0.3353599339033329,0.703068,0.565007,19
9426892,2016-03-23T19:00:00-0700,Coheed and Cambria,Nob Hill Masonic Auditorium,46.55,131.0,20,77.0,San Francisco,CA,Live Nation,NoPriceClass,0,200900,10,,,,,,,
9428441,2016-03-25T21:00:00-0700,Greg Dulli,The Independent,43.79,199.0,11,34.0,San Francisco,CA,NoResults,NoResults,NoResults,NoResults,12,,,,,,,
9428442,2016-04-01T21:00:00-0700,Field Music,The Independent,55.34,90.0,4,24.0,San Francisco,CA,Ticketfly,$15.00,0,399137,19,1276,196,82,0.37694532481118087,0.565609,0.499341,12
9440691,2016-04-01T21:00:00-0700,Anders Osborne,Fillmore San Francisco,52.72,116.0,7,49.0,San Francisco,CA,Live Nation,NoPriceClass,0,2610996,19,,,,,,,
9452594,2016-03-22T20:00:00-0700,Daughter,Fillmore San Francisco,72.93,493.33,15,38.0,San Francisco,CA,Live Nation,NoPriceClass,0,201667,9,,,,,,,
9454350,2016-04-01T20:30:00-0700,The Floozies,Mezzanine,49.7,49.99,2,12.0,San Francisco,CA,Ticketmaster,$17.00,0,115595,19,164,112,0,0.497139583833419,0.420265,0.533951,
9455594,2016-05-25T20:00:00-0700,King Gizzard and The Lizard Wizard,The Independent,61.46,99.0,9,44.0,San Francisco,CA,Ticketfly,$15.00,0,4137561,73,446,20,30,0.5579669395247235,0.31852,0.582897,6
9458624,2016-03-19T20:00:00-0700,Loreena McKennitt,Nob Hill Masonic Auditorium,96.9,359.0,20,53.0,San Francisco,CA,Live Nation,NoPriceClass,0,156551,6,,,,,,,
