event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9354229,2016-04-08T20:00:00-0500,David Gilmour,United Center,103.65,8542.51,544,1397.0,Chicago,IL,Ticketmaster,$70.00,0,20890,26
9357438,2016-04-04T20:00:00-0500,David Gilmour,United Center,61.89,1659.0,1222,2984.0,Chicago,IL,Ticketmaster,$70.00,0,20890,22
9367901,2016-04-01T20:00:00-0500,Gary Clark Jr,Riviera Theatre (Chicago),110.27,250.0,24,58.0,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,309236,19
9378495,2016-04-06T20:00:00-0500,David Gilmour,Auditorium Theatre,134.5,2448.0,203,364.0,Chicago,IL,Ticketmaster,$113.00,0,20890,24
9381632,2016-04-07T19:00:00-0500,Underoath,Riviera Theatre (Chicago),84.92,888.0,14,38.0,Chicago,IL,Etix,NoPriceClass,0,2357960,25
9383640,2016-04-15T20:00:00-0500,Drew Holcomb and the Neighbors,Thalia Hall Chicago,43.8,59.0,3,10.0,Chicago,IL,Songkick Tickets,$21.72,0,3469621,33
9394142,2016-04-02T20:00:00-0500,2Cellos,Chicago Theatre,73.3,251.0,105,400.0,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,4392693,20
9407961,2016-04-08T19:00:00-0500,Galactic,House of Blues Chicago,63.27,72.0,7,43.0,Chicago,IL,Live Nation,NoPriceClass,0,164225,26
9408642,2016-04-06T19:50:00-0500,Iron Maiden,United Center,152.49,5000.0,130,387.0,Chicago,IL,Ticketmaster,$39.50,0,438390,24
9408927,2016-06-25T19:30:00-0500,Selena Gomez,United Center,66.4,2199.0,461,1354.0,Chicago,IL,Ticketmaster,$40.50,0,1059348,104
9409377,2016-06-10T19:30:00-0500,The Cure,UIC Pavilion,75.26,5000.0,405,1005.0,Chicago,IL,Ticketmaster,$54.00,0,474439,89
9414618,2016-04-14T20:00:00-0500,Charles Kelley,House of Blues Chicago,43.81,75.0,14,61.0,Chicago,IL,Live Nation,NoPriceClass,0,1171291,32
9419613,2016-06-11T19:30:00-0500,The Cure,UIC Pavilion,93.75,2040.0,299,792.0,Chicago,IL,Ticketmaster,$54.00,0,474439,90
9423719,2016-07-21T20:00:00-0500,Bryan Adams,FirstMerit Bank Pavilion at Northerly Island,22.17,556.0,101,352.0,Chicago,IL,Live Nation,NoPriceClass,0,54386,130
9424127,2016-03-28T17:00:00-0500,Sonata Arctica,Concord Music Hall,53.22,70.0,7,39.0,Chicago,IL,Songkick Tickets,$32.24,0,419723,15
9428094,2016-03-20T15:00:00-0500,They Might Be Giants,Vic Theatre,52.45,120.0,7,14.0,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,242200,7
9428980,2016-04-06T20:00:00-0500,Ani DiFranco,Park West ,61.5,77.0,8,32.0,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,521301,24
9431382,2016-04-07T21:00:00-0500,Savages,Metro,49.65,1000.0,16,79.0,Chicago,IL,Metro,$24.00,0,242996,25
9432962,2016-04-16T20:00:00-0500,Junior Boys,Metro,48.91,69.0,2,8.0,Chicago,IL,Etix,$16.00,0,362018,34
9434824,2016-03-22T19:30:00-0500,Bonnie Raitt,Chicago Theatre,82.6,2500.0,60,174.0,Chicago,IL,Ticketmaster,$49.50,0,135398,9
9449196,2016-04-15T20:00:00-0500,Joe Satriani,Chicago Theatre,82.74,326.0,32,86.0,Chicago,IL,Ticketmaster,$35.00,0,217121,33
9449215,2016-06-30T19:00:00-0500,James Taylor with Jackson Browne,Wrigley Field,72.12,1500.0,494,1793.0,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,431970,109
9449996,2016-03-21T19:00:00-0500,Jose Gonzalez,Rockefeller Chapel,66.22,99.0,8,13.0,Chicago,IL,Ticketweb,$30.00,0,542593,8
9450531,2016-04-01T19:30:00-0500,Earth Wind and Fire,United Center,50.5,735.0,108,400.0,Chicago,IL,Ticketmaster,$25.00,0,357928,19
