event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9352318,2016-07-15T20:00:00-0500,Janet Jackson,American Airlines Center,39.49,6985.29,252,848.0,Dallas,TX,Ticketmaster,$35.50,0,410449,124
9369372,2016-03-19T20:00:00-0500,Il Volo,Majestic Theatre Dallas,92.18,349.0,12,33.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,187568,6
9372085,2016-03-23T20:00:00-0500,Disturbed,House of Blues Dallas,120.87,7000.0,36,113.0,Dallas,TX,Live Nation,NoPriceClass,0,455175,10
9407604,2016-04-02T20:00:00-0500,Herb Alpert and Lani Hall,Majestic Theatre Dallas,297.5,250.0,1,2.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,2467821,20
9408920,2016-06-18T19:30:00-0500,Selena Gomez,American Airlines Center,59.14,5588.24,516,1728.0,Dallas,TX,Ticketmaster,$35.50,0,1059348,97
9420338,2016-03-24T20:00:00-0500,Big Head Todd and The Monsters,House of Blues Dallas,56.78,180.0,23,102.0,Dallas,TX,Live Nation,$17.00,0,506841,11
9420647,2016-09-17T19:30:00-0500,5 Seconds of Summer,Gexa Energy Pavilion,38.6,2749.0,187,770.0,Dallas,TX,Live Nation,NoPriceClass,0,5642214,188
9422814,2016-04-22T19:30:00-0500,Chris Botti,Morton Meyerson Symphony Center,618.85,520.0,1,4.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,451102,40
9422815,2016-04-23T19:30:00-0500,Chris Botti,Morton Meyerson Symphony Center,473.32,399.0,1,2.0,Dallas,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,451102,41
9425638,2016-09-12T19:00:00-0500,Demi Lovato and Nick Jonas,American Airlines Center,24.93,6053.92,336,1156.0,Dallas,TX,Ticketmaster,$29.95,0,976211,183
9425937,2016-09-07T19:30:00-0500,Black Sabbath,Gexa Energy Pavilion,50.75,9499.05,143,803.0,Dallas,TX,Live Nation,NoPriceClass,0,260631,178
9426866,2016-03-19T20:00:00-0500,Coheed and Cambria,The South Side Ballroom,66.22,139.71,19,112.0,Dallas,TX,Live Nation,NoPriceClass,0,200900,6
9431388,2016-04-11T20:00:00-0500,Savages,Trees,59.12,73.0,6,38.0,Dallas,TX,Official artist website,$22.00,0,242996,29
9434940,2016-04-26T19:30:00-0500,Bonnie Raitt,AT&T Performing Arts Center - Winspear Opera House,147.05,425.0,15,36.0,Dallas,TX,Venue,$59.50,0,135398,44
9440713,2016-03-25T20:00:00-0500,Anders Osborne,Gas Monkey Bar N Grill,41.44,33.0,1,4.0,Dallas,TX,Ticketfly,$5.00,0,464387,12
9441822,2016-04-04T19:30:00-0500,Mumford and Sons,Gexa Energy Pavilion,72.08,1111.0,337,1081.0,Dallas,TX,Live Nation,NoPriceClass,0,2202327,22
9443415,2016-03-24T19:30:00-0500,Finish Ticket,Cambridge Room at House of Blues Dallas,60.32,55.86,2,12.0,Dallas,TX,Live Nation,$17.00,0,506841,11
