event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9327664,2016-04-26T20:00:00-0400,Ana Moura,Carnegie Hall - Stern Auditorium,235.35,288.0,3,8.0,New York,NY,NoVendorClass,NoPriceClass,NoSoldOutClass,75888,44
9343796,2016-06-03T12:58:00-0400,Governors Ball,Randalls Island,359.25,4999.01,124,321.0,New York,NY,NoResults,NoResults,NoResults,NoResults,82
9354230,2016-04-11T20:00:00-0400,David Gilmour,Madison Square Garden,137.02,4400.0,615,1523.0,New York,NY,Ticketmaster,$75.00,0,20890,29
9357410,2016-04-12T20:00:00-0400,David Gilmour,Madison Square Garden,125.22,6900.0,993,2429.0,New York,NY,Ticketmaster,$75.00,0,20890,30
9364603,2016-03-14T20:00:00-0400,Red Hot Chilli Pipers,B.B. King Blues Club & Grill,35.54,106.52,13,29.0,New York,NY,Ticketmaster,$30.00,0,191126,1
9372090,2016-04-04T19:00:00-0400,Disturbed,Irving Plaza,167.15,701.0,34,113.0,New York,NY,Live Nation,NoPriceClass,0,455175,22
9386342,2016-04-14T19:30:00-0400,Underoath,Playstation Theater,59.77,299.0,35,135.0,New York,NY,Songkick Tickets,$38.50,0,2357960,32
9388305,2016-04-02T20:00:00-0400,Afro Latin Jazz Orchestra,Apollo Theater,218.62,183.15,1,4.0,New York,NY,Ticketmaster,$28.50,0,166269,20
9392063,2016-03-29T20:00:00-0400,Vance Joy,Beacon Theatre,61.98,1501.0,207,519.0,New York,NY,Ticketmaster,$42.00,0,6148694,16
9395215,2016-04-07T20:00:00-0400,Skizzy Mars,SOBs,79.2,85.0,5,28.0,New York,NY,Ticketweb,NoPriceClass,0,4516073,25
9397104,2016-03-30T20:00:00-0400,Vance Joy,Beacon Theatre,54.86,525.0,87,233.0,New York,NY,Ticketmaster,$42.00,0,6148694,17
9408082,2016-03-26T19:00:00-0400,Galactic,Terminal 5,38.29,88.0,13,66.0,New York,NY,Ticketmaster,$30.00,0,164225,13
9408640,2016-03-30T19:30:00-0400,Iron Maiden,Madison Square Garden,221.83,1000.0,64,176.0,New York,NY,Ticketmaster,$64.50,0,438390,17
9409378,2016-06-18T20:00:00-0400,The Cure,Madison Square Garden,83.92,5000.0,497,1267.0,New York,NY,Ticketmaster,$30.00,0,474439,97
9413097,2016-06-19T20:00:00-0400,The Cure,Madison Square Garden,67.4,12000.0,553,1751.0,New York,NY,Ticketmaster,$30.00,0,474439,98
9415426,2016-04-07T21:00:00-0400,Drew Holcomb and the Neighbors,Bowery Ballroom,44.94,52.44,7,28.0,New York,NY,Ticketmaster,$17.00,0,3469621,25
9416981,2016-12-18T20:00:00-0400,Luis Miguel,Madison Square Garden,62.58,1000.0,24,57.0,New York,NY,NoResults,NoResults,NoResults,NoResults,280
9420519,2016-04-19T20:00:00-0400,Jimmie Vaughan,B.B. King Blues Club & Grill,99.73,83.22,2,10.0,New York,NY,Ticketmaster,$32.50,0,126812,37
9420557,2016-04-17T11:00:00-0400,B.B. King Blues Club & Grill,B.B. King Blues Club & Grill,119.2,100.32,2,12.0,New York,NY,Ticketmaster,$29.50,0,214342,35
9420558,2016-04-17T14:00:00-0400,HARLEM GOSPEL CHOIR,B.B. King Blues Club & Grill,81.21,100.32,4,23.0,New York,NY,Ticketmaster,$15.00,0,5357223,35
9420560,2016-04-24T11:00:00-0400,B.B. King Blues Club & Grill,B.B. King Blues Club & Grill,114.6,100.32,2,12.0,New York,NY,Ticketmaster,$29.50,0,214342,42
9420561,2016-04-24T14:00:00-0400,HARLEM GOSPEL CHOIR,B.B. King Blues Club & Grill,114.48,100.32,2,12.0,New York,NY,Ticketmaster,$15.00,0,5357223,42
9420562,2016-05-01T11:00:00-0400,B.B. King Blues Club & Grill,B.B. King Blues Club & Grill,119.79,100.32,2,12.0,New York,NY,Ticketmaster,$29.50,0,214342,49
9420563,2016-05-01T14:00:00-0400,HARLEM GOSPEL CHOIR,B.B. King Blues Club & Grill,114.48,100.32,2,12.0,New York,NY,Ticketmaster,$15.00,0,5357223,49
9420564,2016-05-08T11:00:00-0400,B.B. King Blues Club & Grill,B.B. King Blues Club & Grill,114.6,100.32,2,12.0,New York,NY,Ticketmaster,$29.50,0,214342,56
9420565,2016-05-08T14:00:00-0400,HARLEM GOSPEL CHOIR,B.B. King Blues Club & Grill,119.79,100.32,2,12.0,New York,NY,Ticketmaster,$15.00,0,5357223,56
