event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9153379,2016-05-19T19:30:00-0700,The Who,Oracle Arena,85.1,1650.0,110,381.0,Oakland,CA,Ticketmaster,$49.50,0,69685,67
9415012,2016-03-17T20:00:00-0700,Leon Bridges,Fox Theater Oakland,96.1,319.89,57,124.0,Oakland,CA,Ticketmaster,$35.00,0,8205063,4
9421525,2016-03-25T19:30:00-0700,Umphrey's McGee,Fox Theater Oakland,57.84,500.0,23,99.0,Oakland,CA,Ticketmaster,$29.50,0,193054,12
9425940,2016-09-15T19:30:00-0700,Black Sabbath,Oracle Arena,91.0,3430.0,122,557.0,Oakland,CA,Ticketmaster,$45.00,0,260631,186
9426457,2016-04-10T19:00:00-0700,Carrie Underwood,Oracle Arena,76.83,858.0,262,931.0,Oakland,CA,Ticketmaster,$46.00,0,208604,28
9434834,2016-04-23T20:00:00-0700,Bonnie Raitt,Fox Theater Oakland,182.25,1000.0,18,42.0,Oakland,CA,Ticketmaster,$59.50,0,135398,41
9439468,2016-10-16T19:30:00-0700,Maroon 5,Oracle Arena,99.06,4655.0,675,2322.0,Oakland,CA,Ticketmaster,$30.50,0,181875,217
9445382,2016-03-18T19:30:00-0700,Justin Bieber,Oracle Arena,179.24,10000.0,278,776.0,Oakland,CA,Ticketmaster,$50.50,0,2596951,5
9445871,2016-03-13T19:30:00-0700,Jose Gonzalez,Fox Theater Oakland,72.12,149.0,10,23.0,Oakland,CA,NoResults,NoResults,NoResults,NoResults,0
9461619,2016-05-07T19:30:00-0700,Rihanna,Oracle Arena,113.81,5500.0,302,1076.0,Oakland,CA,Ticketmaster,$36.75,0,139648,55
9469696,2016-03-13T20:00:00-0700,Bruce Springsteen and the E Street Band,Oracle Arena,226.7,979.17,43,95.0,Oakland,CA,NoResults,NoResults,NoResults,NoResults,0
9470247,2016-03-27T19:30:00-0700,Joanna Newsom,Fox Theater Oakland,120.49,249.99,14,44.0,Oakland,CA,Ticketmaster,$35.00,0,481340,14
9478409,2016-08-02T19:30:00-0700,Adele,Oracle Arena,237.31,9900.0,440,1192.0,Oakland,CA,Ticketmaster,$39.50,0,537914,142
