['9295580', 'NoResults']
['9392051', '/concerts/24876764-vance-joy-at-fillmore-miami-beach-jackie-gleason-theater']
['9400047', '/concerts/24928034-ricardo-montaner-at-americanairlines-arena']
['9408916', '/concerts/25658284-selena-gomez-at-americanairlines-arena']
['9432550', '/concerts/25317659-ellie-goulding-at-americanairlines-arena']
['9439471', '/concerts/25362344-maroon-']
['9443712', '/concerts/25390974-cure-at-bayfront-park']
['9445394', '/concerts/25400739-justin-bieber-at-americanairlines-arena']
['9455710', '/concerts/25400739-justin-bieber-at-americanairlines-arena']
['9456686', '/concerts/25390974-cure-at-bayfront-park']
['9459683', 'NoResults']
['9459696', 'NoResults']
['9459697', 'NoRegexp']
['9461598', '/concerts/25492224-rihanna-at-americanairlines-arena']
['9463629', 'NoResults']
['9468070', '/concerts/25552959-julio-iglesias-at-americanairlines-arena']
['9469928', '/concerts/25574079-']
['9478459', '/concerts/25654939-adele-at-americanairlines-arena']
['9478460', '/concerts/25654939-adele-at-americanairlines-arena']
['9483201', '/concerts/25661594-kirk-franklin-at-fillmore-miami-beach-jackie-gleason-theater']
['9484163', '/concerts/25636194-chris-tomlin-at-americanairlines-arena']
['9484743', 'NoResults']
['9490692', '/concerts/25800819-air-supply-at-magic-city-casino']
['9493503', '/concerts/26190409-loretta-lynn-at-buffalo-run-casino']
['9500647', '/concerts/25865729-florence-and-the-machine-at-americanairlines-arena']
['9500876', '/concerts/25851609-tori-kelly-at-fillmore-miami-beach-jackie-gleason-theater']
['9501060', '/concerts/25851584-cult-at-fillmore-miami-beach-jackie-gleason-theater']
['9503264', '/concerts/25900348-weezer-at-bayfront-park']
['9506577', '/concerts/25929693-pearl-jam-at-americanairlines-arena']
['9507383', '/concerts/25918448-carlos-vives-at-americanairlines-arena']
['9510992', '/concerts/26007068-modest-mouse-at-bayfront-park']
['9512005', '/concerts/26020013-iggy-pop-at-fillmore-miami-beach-jackie-gleason-theater']
['9512559', 'NoResults']
['9513613', '/concerts/26044308-ray-lamontagne-at-fillmore-miami-beach-jackie-gleason-theater']
['9513848', '/concerts/25424544-jazz-roots-at-knight-concert-hall-adrienne-arsht-center']
['9514468', '/concerts/26066268-bush-at-fillmore-miami-beach-jackie-gleason-theater']
['9515807', '/concerts/26079783-new-order-at-fillmore-miami-beach-jackie-gleason-theater']
['9516994', 'NoResults']
['9517091', 'NoResults']
['9519808', '/concerts/26129848-beyonce-at-marlins-park']
['9520478', '/concerts/26031548-xxyyxx-at-bardot']
['9521455', '/concerts/26138948-leon-bridges-at-fillmore-miami-beach-jackie-gleason-theater']
['9521703', 'NoResults']
['9521977', '/concerts/26153394-mana-at-americanairlines-arena']
['9522363', 'NoResults']
['9522364', 'NoResults']
['9522367', '/concerts/24625759-danny-rivera-at-miami-dade-county-auditorium']
['9522488', 'NoResults']
['9522592', '/concerts/26138548-lord-huron-at-fillmore-miami-beach-jackie-gleason-theater']
['9528223', '/concerts/26244434-anjunabeats-at-oasis-at-the-raleigh-hotel']
['9528308', '/concerts/26197324-above-and-beyond-at-rc-cola-plant']
['9528752', 'NoResults']
['9528753', 'NoResults']
['9528777', 'NoResults']
['9528778', '/concerts/25948148-oliver-heldens-at-maps-backlot']
['9528799', '/concerts/26218034-haash-at-fillmore-miami-beach-jackie-gleason-theater']
['9529102', '/concerts/26254399-dirtybird-players-at-trade']
['9529113', 'NoResults']
['9529119', '/concerts/25882364-steve-aoki-at-nikki-beach']
['9529123', 'NoResults']
['9529130', 'NoResults']
['9529133', 'NoResults']
['9529143', 'NoResults']
['9529153', 'NoResults']
['9529162', '/concerts/26085928-john-digweed-at-treehouse']
['9529166', '/concerts/26203119-lane-']
['9529168', '/concerts/26047088-sander-van-doorn-at-nautilus-hotel']
['9529170', 'NoResults']
['9529172', 'NoResults']
['9529297', '/concerts/26241524-majid-jordan-at-bardot']
['9529581', 'NoResults']
['9529582', 'NoResults']
['9529584', 'NoResults']
['9529586', 'NoResults']
['9529587', '/concerts/26254434-last-resort-at-cafeina-wynwood-lounge']
['9529592', 'NoResults']
['9529594', '/concerts/26171229-borgore-at-national-hotel']
['9530349', '/concerts/26217674-fonseca-at-fillmore-miami-beach-jackie-gleason-theater']
['9530553', 'NoResults']
['9530587', '/concerts/26429584-martin-garrix-at-story-nightclub']
['9530881', '/concerts/26275269-goo-goo-dolls-at-klipsch-amphitheater-bayfront-park']
['9530966', 'NoResults']
['9530967', 'NoResults']
['9530969', 'NoResults']
['9531167', 'NoResults']
['9531224', 'NoResults']
['9531225', '/concerts/26235559-dimitri-vegas-and-like-mike-at-icon-miami-beach']
['9531409', '/concerts/26272054-afrojack-at-liv-nightclub-fontainebleau']
['9531465', 'NoResults']
['9531778', 'NoResults']
['9531864', '/concerts/26272044-calvin-harris-at-liv-nightclub-fontainebleau']
['9531929', '/concerts/26284179-zhu-at-fillmore-miami-beach-jackie-gleason-theater']
['9532239', 'NoResults']
['9532453', 'NoResults']
['9532853', 'NoResults']
['9533089', '/concerts/26315564-tiesto-at-liv-nightclub-fontainebleau']
['9534097', 'NoResults']
['9534098', 'NoResults']
['9534286', 'NoResults']
['9535359', '/concerts/26304584-caetano-veloso-at-bayfront-park']
['9535481', '/concerts/26345114-david-guetta-at-liv-nightclub-fontainebleau']
['9536535', '/concerts/26316864-melendi-at-fillmore-miami-beach-jackie-gleason-theater']
['9539482', 'NoResults']
['9539486', 'NoResults']
['9540471', 'NoResults']
['9540748', 'NoResults']
